,Assistant professors,Associate professors,College,Full professors,Instructors,Student-fac. ratio
584,57200.0,63900.0,University of West Florida,86100.0,44000.0,23 to 1
585,53700.0,70600.0,Kent State University-Stark,86000.0,,22 to 1
586,51400.0,61000.0,Berry College,85900.0,48000.0,12 to 1
587,54300.0,66000.0,Western Kentucky University,85900.0,41700.0,19 to 1
588,53600.0,65400.0,Mercyhurst University,85900.0,44500.0,16 to 1
589,59300.0,70000.0,Marymount University,85900.0,,14 to 1
590,55000.0,69200.0,Lawrence University,85900.0,44500.0,9 to 1
591,55200.0,68900.0,St. Norbert College,85900.0,49800.0,15 to 1
592,59900.0,69100.0,Montgomery College Rockville Campus,85800.0,58400.0,20 to 1
593,59700.0,66200.0,Texas A&M University at Commerce,85700.0,48800.0,20 to 1
594,57000.0,64100.0,Purdue University North Central,85600.0,,18 to 1
595,57400.0,72900.0,Springfield College (Mass.),85600.0,47200.0,14 to 1
596,52800.0,65800.0,Kalamazoo College,85600.0,55400.0,14 to 1
597,54400.0,67000.0,Ball State University,85500.0,43300.0,18 to 1
598,62000.0,69400.0,Holy Family University,85500.0,54700.0,13 to 1
599,56600.0,66300.0,University of Tennessee at Chattanooga,85500.0,45300.0,18 to 1
600,68800.0,73600.0,Butler University,85400.0,46400.0,11 to 1
601,54000.0,64500.0,Saint Vincent College,85400.0,51200.0,13 to 1
602,55300.0,64800.0,University of South Dakota,85400.0,40300.0,17 to 1
603,58000.0,67300.0,Community College of Baltimore County,85400.0,51400.0,21 to 1
604,58900.0,71800.0,Susquehanna University,85300.0,53400.0,13 to 1
605,62700.0,70200.0,Indiana University-Purdue University at Fort Wayne,85200.0,47500.0,19 to 1
606,60800.0,72200.0,Bloomfield College,85200.0,,16 to 1
607,54400.0,65600.0,Point Park University,85200.0,,14 to 1
608,59500.0,64900.0,Montana State University at Bozeman,84900.0,43600.0,17 to 1
609,61400.0,66500.0,Westminster College (Utah),84900.0,54600.0,11 to 1
610,58600.0,69900.0,Seattle Pacific University,84900.0,52700.0,14 to 1
611,58900.0,67300.0,University of Arkansas at Little Rock,84800.0,43000.0,16 to 1
612,58400.0,62000.0,Mississippi College,84800.0,49400.0,15 to 1
613,59700.0,68100.0,Ohio University at Chillicothe,84800.0,,27 to 1
614,57900.0,68200.0,Delaware Valley College,84800.0,52300.0,15 to 1
615,54500.0,66300.0,Centre College,84700.0,50000.0,11 to 1
616,66500.0,72700.0,Endicott College,84700.0,58600.0,15 to 1
617,52300.0,61500.0,Juniata College,84700.0,,13 to 1
618,58600.0,70000.0,Saint John's University (Minn.),84600.0,53800.0,12 to 1
619,61700.0,67500.0,University of North Carolina at Asheville,84600.0,,14 to 1
620,59000.0,70400.0,Elizabethtown College,84600.0,,12 to 1
621,56000.0,65100.0,Moravian College,84600.0,47900.0,10 to 1
622,53000.0,66400.0,Saint Leo University,84500.0,45900.0,16 to 1
623,53400.0,64400.0,Mount St. Mary's University (Md.),84500.0,,13 to 1
624,55200.0,65000.0,Southwestern University (Tex.),84500.0,,11 to 1
625,62700.0,68400.0,Fuller Theological Seminary,84300.0,,
626,62100.0,66200.0,University of Minnesota at Crookston,84300.0,52000.0,24 to 1
627,54600.0,65800.0,Murray State University,84200.0,,15 to 1
628,58200.0,70500.0,Coastal Carolina University,84200.0,46100.0,17 to 1
629,57000.0,67700.0,Kennesaw State University,84100.0,43900.0,21 to 1
630,63900.0,66800.0,Salisbury University,84100.0,64300.0,17 to 1
631,56200.0,67200.0,Ohio State University at Mansfield,84100.0,,20 to 1
632,55600.0,65500.0,College of Saint Scholastica,84000.0,45600.0,14 to 1
633,54600.0,67300.0,Albright College,84000.0,46900.0,14 to 1
634,65100.0,72800.0,University of Hawaii Maui College,83900.0,58800.0,18 to 1
635,58700.0,63600.0,Jacksonville University,83800.0,42800.0,14 to 1
636,60900.0,69600.0,Louisiana Tech University,83700.0,39700.0,22 to 1
637,56600.0,63700.0,Winona State University,83700.0,38700.0,20 to 1
638,58100.0,66700.0,Merrimack College,83600.0,,12 to 1
639,58400.0,69400.0,Nazareth College of Rochester,83600.0,49100.0,11 to 1
640,56600.0,67000.0,State University of New York Canton-College of Technology,83600.0,46700.0,20 to 1
641,66100.0,77300.0,University of Hawaii West Oahu,83500.0,,16 to 1
642,53000.0,67300.0,Columbia College (Mo.),83500.0,53000.0,35 to 1
643,58500.0,64400.0,Saint Peter's College,83500.0,,16 to 1
644,57600.0,67900.0,Abilene Christian University,83500.0,47600.0,15 to 1
645,56800.0,66500.0,Westfield State University,83400.0,52100.0,17 to 1
646,55000.0,65000.0,Washington and Jefferson College,83400.0,,11 to 1
647,59500.0,,University of Hawaii Windward Community College,83300.0,51500.0,19 to 1
648,58400.0,68700.0,Elmhurst College,83300.0,,13 to 1
649,60700.0,69100.0,Plymouth State University,83300.0,,16 to 1
650,59200.0,67400.0,Wofford College,83300.0,49100.0,11 to 1
651,62600.0,66500.0,Metropolitan State University,83200.0,,17 to 1
652,52900.0,66000.0,Cabrini College,83200.0,47700.0,19 to 1
653,56600.0,66100.0,Roanoke College,83200.0,45900.0,11 to 1
654,59800.0,71200.0,Tuskegee University,83100.0,43600.0,12 to 1
655,62000.0,67600.0,St. Cloud State University,83100.0,44900.0,24 to 1
656,60800.0,67700.0,Texas A&M University at Kingsville,83000.0,,16 to 1
657,52600.0,63000.0,Augustana College (Ill.),82900.0,45400.0,12 to 1
658,55100.0,69700.0,Lesley University,82900.0,48400.0,17 to 1
659,57900.0,73600.0,Kent State University-Trumbull,82900.0,,24 to 1
660,60100.0,68200.0,Azusa Pacific University,82800.0,55900.0,13 to 1
661,60000.0,68100.0,Holy Names University,82800.0,,17 to 1
662,58300.0,67200.0,Howard Community College,82700.0,52300.0,17 to 1
663,56600.0,63600.0,Troy University,82600.0,40400.0,20 to 1
664,55700.0,64400.0,Eckerd College,82600.0,,13 to 1
665,61000.0,69000.0,Agnes Scott College,82600.0,,10 to 1
666,54500.0,65000.0,Northern Michigan University,82600.0,45400.0,23 to 1
667,59800.0,67500.0,Chatham University,82600.0,,10 to 1
668,56600.0,70400.0,Dakota State University,82600.0,40200.0,17 to 1
669,68400.0,73200.0,University of the Incarnate Word,82600.0,55600.0,14 to 1
670,59700.0,66200.0,University of Texas at Tyler,82600.0,46500.0,16 to 1
671,52800.0,65700.0,Ohio University at Zanesville,82500.0,,22 to 1
672,68700.0,71900.0,Milwaukee School of Engineering,82500.0,55900.0,14 to 1
673,58100.0,65900.0,Framingham State College,82400.0,50500.0,16 to 1
674,54400.0,64800.0,University of the Virgin Islands,82400.0,39100.0,17 to 1
675,59100.0,65000.0,College of Charleston,82300.0,49200.0,16 to 1
676,54300.0,64000.0,Whitworth University,82300.0,48100.0,11 to 1
677,55200.0,65900.0,University of South Alabama,82200.0,43700.0,22 to 1
678,55500.0,62100.0,Hendrix College,82200.0,47800.0,12 to 1
679,53200.0,61600.0,University of West Georgia,82200.0,37400.0,20 to 1
680,62000.0,67000.0,Indiana University-Southeast,82200.0,,17 to 1
681,58200.0,69100.0,Dominican University,82100.0,53100.0,12 to 1
682,62700.0,63300.0,Notre Dame of Maryland University,82100.0,41500.0,12 to 1
683,55400.0,62600.0,University of Mary Washington,82100.0,50900.0,15 to 1
684,53800.0,64300.0,Texas Woman's University,82000.0,46600.0,17 to 1
685,64700.0,67200.0,Northeastern Illinois University,81900.0,40100.0,15 to 1
686,58800.0,67500.0,Frostburg State University,81900.0,58700.0,17 to 1
687,54800.0,66600.0,New College of Florida,81900.0,,10 to 1
688,57200.0,64000.0,University of North Carolina at Pembroke,81800.0,,16 to 1
689,64200.0,70400.0,University of Hawaii Honolulu Community College,81700.0,53500.0,18 to 1
690,59500.0,71000.0,Lasell College,81700.0,,15 to 1
691,56800.0,67600.0,University of Mount Union,81700.0,42100.0,14 to 1
692,52900.0,62300.0,Linfield College,81700.0,,12 to 1
693,56500.0,66400.0,University of Pittsburgh at Bradford,81700.0,50800.0,19 to 1
694,57500.0,65200.0,Seton Hill University,81700.0,49900.0,16 to 1
695,55300.0,65400.0,Western Washington University,81700.0,44000.0,21 to 1
696,56300.0,67400.0,New Mexico State University at Las Cruces,81500.0,40400.0,19 to 1
697,55100.0,65800.0,Luther College,81400.0,46400.0,12 to 1
698,54600.0,64000.0,McNeese State University,81400.0,42300.0,20 to 1
699,62700.0,74800.0,University of Hawaii Hawaii Community College,81200.0,55900.0,20 to 1
700,63800.0,71700.0,University of Hawaii Kapiolani Community College,81100.0,55400.0,20 to 1
701,56900.0,65600.0,Lebanon Valley College,81100.0,,13 to 1
702,56000.0,69600.0,Misericordia University,81100.0,,12 to 1
703,64000.0,65700.0,Virginia State University,81100.0,46600.0,16 to 1
704,53200.0,64300.0,Saint Mary's College (Ind.),81000.0,44700.0,10 to 1
705,52500.0,64800.0,University of Central Missouri,81000.0,38700.0,17 to 1
706,54300.0,59500.0,Neumann University,81000.0,46600.0,13 to 1
707,62900.0,68400.0,University of Hawaii Leeward Community College,80900.0,53400.0,26 to 1
708,61600.0,66200.0,West Texas A&M University,80900.0,47200.0,20 to 1
709,58900.0,67300.0,Georgia Southern University,80800.0,40300.0,23 to 1
710,55300.0,68400.0,Indiana University-Northwest,80800.0,,17 to 1
711,56700.0,67300.0,Carthage College,80800.0,,14 to 1
712,51500.0,73600.0,University of Akron-Wayne College,80600.0,,22 to 1
713,56300.0,67900.0,High Point University,80500.0,33800.0,16 to 1
714,55200.0,64800.0,Southwestern Illinois College,80400.0,49500.0,19 to 1
715,54600.0,65600.0,University of Southern Indiana,80400.0,48300.0,18 to 1
716,57600.0,66500.0,Centenary College,80400.0,49200.0,15 to 1
717,60100.0,71900.0,DeSales University,80300.0,51100.0,13 to 1
718,55700.0,66000.0,Messiah College,80300.0,,13 to 1
719,58800.0,67000.0,Eastern Kentucky University,80200.0,51600.0,17 to 1
720,47100.0,62000.0,Medaille College,80200.0,37100.0,14 to 1
721,54300.0,65900.0,Tennessee Technological University,80200.0,40100.0,21 to 1
722,54000.0,64400.0,Cedar Crest College,80100.0,48800.0,10 to 1
723,61700.0,68400.0,University of Louisiana at Monroe,80000.0,39500.0,18 to 1
724,54500.0,62000.0,Alfred State College,80000.0,39700.0,20 to 1
725,52500.0,58300.0,Ohio Wesleyan University,80000.0,,11 to 1
726,56200.0,64100.0,Miami Dade College,79900.0,50700.0,24 to 1
727,53300.0,61100.0,Coe College,79900.0,,11 to 1
728,62300.0,73700.0,Stevenson University,79900.0,57800.0,16 to 1
729,59200.0,66700.0,Bemidji State University,79900.0,,22 to 1
730,50100.0,64600.0,University of Cincinnati-Clermont College,79900.0,50500.0,18 to 1
731,60300.0,70400.0,University of Findlay,79900.0,51100.0,15 to 1
732,51200.0,62400.0,Marian University (Wis.),79900.0,44200.0,12 to 1
733,53400.0,65800.0,Berea College,79800.0,45200.0,11 to 1
734,56000.0,68000.0,Southwest Minnesota State University,79800.0,,27 to 1
735,56500.0,62600.0,Minnesota State University Moorhead,79600.0,41700.0,19 to 1
736,53200.0,65300.0,Oklahoma City University,79600.0,52600.0,11 to 1
737,52100.0,62500.0,Colorado State University at Pueblo,79500.0,,16 to 1
738,49600.0,60500.0,Knox College,79500.0,47900.0,12 to 1
739,55900.0,67400.0,University of Indianapolis,79500.0,46000.0,15 to 1
740,62000.0,71200.0,Delgado Community College,79500.0,49000.0,21 to 1
741,53100.0,65200.0,State University of New York College at Potsdam,79500.0,42200.0,15 to 1
742,59000.0,66100.0,South Dakota State University,79400.0,44000.0,19 to 1
743,51900.0,62500.0,Southern Utah University,79400.0,,22 to 1
744,57200.0,66100.0,Southern Polytechnic State University,79300.0,,18 to 1
745,56700.0,65300.0,Boise State University,79300.0,47700.0,21 to 1
746,53000.0,64500.0,Hanover College,79300.0,,11 to 1
747,57600.0,66500.0,Southeastern Louisiana University,79200.0,44600.0,23 to 1
748,58800.0,65000.0,Pacific Lutheran University,79200.0,48600.0,15 to 1
749,56300.0,63600.0,Trinity Washington University,79100.0,48500.0,9 to 1
750,53100.0,62800.0,Birmingham-Southern College,79000.0,37200.0,13 to 1
751,52400.0,63300.0,Daemen College,79000.0,51200.0,14 to 1
752,55800.0,63600.0,University of Central Arkansas,78800.0,42100.0,17 to 1
753,,65300.0,American Jewish University,78800.0,,3 to 1
754,54700.0,62500.0,Earlham College and Earlham School of Religion,78800.0,,12 to 1
755,54500.0,65600.0,Winthrop University,78800.0,44100.0,14 to 1
756,58400.0,65900.0,Radford University,78800.0,51000.0,18 to 1
757,49800.0,62000.0,Southeastern University (Fla.),78700.0,,20 to 1
758,53000.0,60800.0,National-Louis University,78700.0,45700.0,9 to 1
759,59100.0,69200.0,Utica College,78700.0,,11 to 1
760,50500.0,64300.0,University of Cincinnati-Raymond Walters College,78700.0,47500.0,16 to 1
761,56300.0,67800.0,University of North Alabama,78600.0,47900.0,21 to 1
762,56800.0,63400.0,University of Montana at Missoula,78600.0,42000.0,19 to 1
763,56000.0,62900.0,Hope College,78500.0,,12 to 1
764,56300.0,64500.0,State University of New York College of Agriculture and Technology at Cobleskill,78500.0,41900.0,12 to 1
765,51500.0,60300.0,University of Northern Colorado,78400.0,44500.0,20 to 1
766,56300.0,70200.0,Chaminade University of Honolulu,78300.0,,12 to 1
767,53000.0,68400.0,Caldwell College,78300.0,,15 to 1
768,56800.0,62500.0,Arkansas State University,78200.0,36500.0,19 to 1
769,,63600.0,Niagara County Community College,78200.0,45300.0,19 to 1
770,51300.0,61500.0,Randolph-Macon College,78200.0,,11 to 1
771,57800.0,62700.0,Missouri State University,78100.0,37500.0,21 to 1
772,55000.0,66400.0,State University of New York A&T College at Morrisville,78100.0,49500.0,18 to 1
773,56500.0,63400.0,Lynchburg College,78100.0,45500.0,12 to 1
774,60700.0,68600.0,Albertus Magnus College,78000.0,,14 to 1
775,54300.0,59900.0,Adrian College,78000.0,,15 to 1
776,55700.0,62400.0,Minot State University,78000.0,42700.0,14 to 1
777,51600.0,62900.0,University of Pittsburgh at Greensburg,78000.0,43300.0,21 to 1
778,51800.0,62900.0,Hollins University,78000.0,,10 to 1
779,62400.0,71200.0,Saint Francis Medical Center College of Nursing,77900.0,55300.0,10 to 1
780,54100.0,61300.0,Francis Marion University,77900.0,48400.0,15 to 1
781,59600.0,65000.0,Central Washington University,77800.0,,21 to 1
782,51200.0,59900.0,University of Montevallo,77700.0,47700.0,17 to 1
783,55600.0,63800.0,Augsburg College,77500.0,49000.0,15 to 1
784,65500.0,73200.0,Lipscomb University,77500.0,46700.0,16 to 1
785,47200.0,58500.0,Beloit College,77400.0,37300.0,10 to 1
786,64000.0,62800.0,Kettering University,77300.0,,14 to 1
787,55100.0,61400.0,Longwood University,77300.0,,18 to 1
